,text,gpt-4o-mini_response
33,ข้างล่างเน่าหมดเลย 😭😭😭😭😭,negative
34,โดนัทฮอกไกโดอะไรสักกะอย่างอร่อยมากก แสงออกปาก แต่ที่ไม่ประทับใจสุดคือวิน!! โกรธมาก โกงเราได้ไง เรานั่งวินเกือบทุกวัน เราจำราคาได้หมด แย่อะ เพื่อนก็โดน พอถามบอกรถติด เอิ่บ ติดแค่ทางเข้านะ แต่บอกติด งง? ไหนจะมาจิ๊ป่ะใส่ตอนถามอีกว่าปกติ15นี่ ไม่โอเค,negative
35,การแสดงของเจอร์ข้าวนาในงานแข่งกีฬาคณะ ก็ยังมีเนื้อหาเกี่ยวกับเพศ ทำไมถึงวนอยู่แต่เรื่องนี้ล่ะคร้าบบบ,negative
36,มีใครรู้บ้างว่า เบอร์เกอร์นี้มาจากร้านไหน น่าจะโซนK น้องเป็นเมนูที่2ชื่อประมาณว่า ชิกเก้น บี ฟราน(อะไรสักอย่าง) คือน้องอร่อยมากกก แต่ตอนนั้นเราลืมถ่ายรูปหน้าร้านไว้ กลับมากินที่คอนโดอร่อยจนต้องตามหา แต่หายังไงก็ไม่เจอ ใครรู้บอกบุญหน่อยนะคะจะตามไปอัดหนุนอีก,positive
37,เพลงสันอะไรเอ่ยมีเนื้อหาเกี่ยวกับการข่มขืน เหยียดเพศ เหยียดหน้าตา 🫠,negative
38,เกษตรแฟร์วันสุดท้าย มีอะไร.?? ตอบ : มีจุงอาเชน 😂😅 เดินงงๆในดงนิสิตเจอจุงอาเชน &amp; เดอะแก๊งค์,positive
39,โดนวินเหลี่ยมไป2รอบโมโหสุดๆ,negative
40,ร้องเพราะมาก ยืนฟังจบไปหลายเพลงแล้ว🎶,positive
41,ซิกเนเจอร์  เป็ด🦢,neutral
42,เอาใจสายแซ่บ กับร้านมะม่วงหาดใหญ่🥭 สำหรับใครที่ชอบทานมะม่วง บอกเลยร้านนี้ตอบโจทย์มาก มะม่วงรสชาติอร่อยพร้อมกับน้ำจิ้มรสเด็ดที่มีให้เลือกถึงสามรสชาติ แถมราคายังถูกมาก กล่องละ60บาท 2กล่อง100บาทเท่านั้น! 🚩พิกัดอยู่เกษตรแฟร์เลยจ้า บูธอยู่ที่โซนAน๊าาาา,positive
43,เมื่อวานส่งเพื่อนไป ด้วยความที่อยู่ตจว. เลยบอกเพื่อนว่าไป M30 ให้หน่อย เป็นตัวเเทนไปหาพายที . . ไหน…ในคลิปไม่เห็นพายเลย ความเพื่อน @SaranPie พายโปรดรับรู้ว่าเราพยายามเเล้ว55555,neutral
44,ได้มาแล้ว นักแม่นปืน,positive
45,มีแต่ปัญหาอะ เรื่องเด็กวิศวะคอมโดดตึกคราวก่อนอะรับผิดชอบยัง,negative
46,โฮรรรรรรร😭😭😭😭 ไม่ได้เจอมาเป็นปี มาเจอที่เกษตรแฟน์แล้วววว~~~,positive
47,ครั้งหน้าคงไม่ไปหยียบแล้วละ เจอแต่เอาเปรียบคนมาขาย,negative
48,อยากได้ไอจีสาวนิสิตคนนึงงะ ขายอิตาเลี่ยนโซดา,neutral
49,ศลป อยากเดินชิวๆไหมอกแกจะไปตามติดเป็นวิญญาณทำไม-.- ซ ด้อมเอ้ยยย,negative
50,เราอยากเจอเซฟจี เราอยากเจอพี่จีก่อนสามสิบ 😭,negative
51,ใครยังไม่กลับ ไปอุดหนุนโดนัทร้านทาร์ตไข่ได้ 5แถม1 ใกล้ๆแยกระหว่างโซนเอกับโซนบี อร่อยมาก ้ขาไม่ได้จ่ายแต่อยากให้ลอง,positive
52,เจอแล้วลูกเขยแม่ที่จริงใจ ☺️,positive
53,แซลม่อนดองเกษตรแฟร์ ทั้งหมดนี่คือ 99฿ เลยอ่ะ ตอนได้รับมาคือช้อค ขายแพงเกิ๊นนนนน,negative
54,อยู่เกษตรแฟร์งับไปไหนต่อดี,neutral
55,ไปเกษตรแฟร์วันนี้ได้อะไร ได้เจอเซฟจี ได้เจอพี่จุง บูม น้องดัง ได้ของกินมาเยอะมาก ได้วาฟเฟิลมา ได้เจอร้านบราวนี่ปั่นหลังจากที่หามา3 วัน ขอบคุณพ่อหนุ่มขายมะพร้าวค่ะ ที่บอก(เอ็นดูความบอกว่าผช.หล่อ แต่สู้ร้านเราไม่ได้ โอเคค่ะเธอ 555 )!!,positive
56,ได้ไปอุดหนุนคุณลุงแล้ววค่ดดีใจนี่ตามจากทวิตเลย สามารถโอนได้ราคาไม่แพงนี่ซื้อขนมกล้วยก็อร่อยเลยแถมคุณลุงใจดีมากๆ คุณลุงน่าจะมาตั้งขายตอนช่วงเยนเพราะมาบ่ายยังไม่เห็นเลย,positive
57,ร้านนนิสิตที่เกษตรแฟร์อร่อยมากกเอาไป100000คะแนน,positive
58,ไอติมสาหร่ายอร่อยเลยมันก็คือไอติมนมสีเขียวอ่ะแต่หอมนมจริงๆค่ดชอบ 49 บาทแต่ละลายเร็วชห. ไอติมถั่วตัดนี่มองว่าเฉยๆแค่อยากลองชิมอ่ะหรือลองผิดร้านวะ มันคือไอติมเผือกอ่ะ 50 บาทราคาโอเคเลย อยู่โซน K หมดเลย,neutral
59,พริกหนุ่มโซน k ก็อร่อยเห้อ 50บาท 3 ชิ้นดีมาก,positive
60,มันฝรั่งบดโซนนิสิตค่ดอร่อย,positive
61,ซื้อมาผิด size ใครอก 46-48 ใส่ได้สบาย,neutral
62,คนจะเหยียบตาย เหนื่อย ของโซนหน้าๆแพงไม่สมกับที่ได้ ท้อมาก ของโซนด้านในถูกมาก ยิ่งโซนนิสิต สมราคามาก ครั้งหน้าควรเดินไปในสุดละ,negative
63,น่ากิงงง ปีหน้าพรี่ค่อยไปนะ แง 🥲😭😭😢😋,neutral
64,หมดจากงานเกษตรแฟร์ ฉันว่าคนก็จะแห่มาที่นี่อีก คนต้องแน่นๆอะ ไทยแลนด์แดนบันเทิงว่าซ่าน,positive
65,รับถึงที่ พร้อมส่งทุกกลับบ้านประตู,neutral
66,คนเยอะเหมือนพนโลกแตก,negative
67,เดินเข้างานก็จัดก่อนเลย ถ้ามีแบบหวานน้อยน่าจะดี🥶,neutral
68,มีใครมีคอนแทคร้าน ถังหูลู่ โซนนิติที่ขาย 39 บาทปะตรงหน้าสหกรณ์,neutral
69,ร้าน M71 คือประทับใจมาก 💚 เป็นร้านที่ซื้อกินร้านเเรกของงาน เดินทั่วงานจนต้องกลับมาซ้ำอีก 2 รอบ ฝากอุดหนุนไก่ทอดเกาหลีกับมันฝรั่งทอดน้องๆกันเยอะๆน้า ที่สำคัญน้องคือน่ารักกันทุกคน ใครอุดหนุนเเล้วมาบอกกันด้วยเด้อ :),positive
70,เห็นคนแล้วเหนื่อยแทน วันสุดท้ายแล้วหรอไวมากแง 55555555555555555,neutral
71,มีใครขายเป็ดต่อไหมคะ😓,neutral
72,“เกษตรแฟร์ดีต่อใจ” 💚🫰🏻🌿 -เต้ IG : taee.w18,positive
73,วันสุดท้ายแล้วสิ่งที่ควรลองคือไอติมเห็ด กรุบๆๆ,positive
74,แม่ค้ามะขาม,neutral
75,ฮรือออออมาแร้วได้ไรผายมือค่า พระเจ้าจี,neutral
76,พอๆกับงานปากน้ำ,neutral
77,คนเยอะจีง,neutral
78,นั่งวินในงาน ถามราคาก่อนนะ นี่นั่งจากประตูวิภามาประตูสัตวแพทย์ มา 2 คันคิดราคาไม่เท่ากัน,neutral
79,ตอนนี้คนเยอะไหมคะ,neutral
80,ชั้นอยากได้ไอจีนิสิตมากแต่จำไม่ได้ว่าเค้าอยู่ m อะไร,neutral
81,ไอติมถั่วตัด ต้นตำรับจากไต้หวัน🇼🇸 แปลกใหม่ดี พึ่งเคยกิน อร่อย กินง่าย บูทของเด็กอาหาร โภชนาการและการกำหนดอาหาร,positive
82,งานหมดวันไหนคะ;-;,neutral
83,ถ่ายช่วงต้น แต่ขอโพสต์วันสุดท้ายของงานนะคะ,neutral
84,นมถุงเกษตร สามารถซื้อได้เพิ่มเติมได้ที่ไหนบ้างงอะ,neutral
85,กูเดินวนอยู่โซน A ตั้งแต่ 4 โมง จนถึงตอนนี้… ช่วยด้วยยยย,negative
86,รีวิวไอติมถั่วตัดผักชี ถ้าไปคือห้ามพลาดเลยงับ~ก็คือดีสุดดด 10/10ไม่หัก อร่อยยมากก ถั่วตัดกับผักชีเข้ากันกับไอศครีมมาก ☺️,positive
87,คนแน่นมากกกกกกกกกกกก,neutral
88,วันนี้โดนเรียกเก็บไป 40 บาท จาก bts พหล มาสายสีแดง กลับทางนี้ทุกวันก็ 15 บาท นางบอกก็คนมันเยอะอ่ะ Noสนคะ ยื่นเงินให้แล้วเดินจากมา,negative
89,อยากไปหาของกินนะ แต่วันนี้แค่กุตื่นมา เวฟข้าวกินละก็นอนต่อ กุก้รู้สึกเหนื่อยละ,neutral
90,สงสัยอย่างนึงคือทำไมร้านค้าส่วนมากไม่มีป้ายราคา,neutral
91,มวลมหาชน ณ บีทีเอส มุ่งหน้าไปเกษตรแฟร์ บางเขน 😅😅😅😅,neutral
92,รับหิ้วกำไล B43ค่า ทักมาได้เลยค่า ของลงช่วง19.00เลทๆค่าาา,neutral
93,ปีนี้จัดโซนได้งงมาก ฉันผู้เดินวนโซน A ไม่พ้นสักที,negative
94,รับหิ้วกำไล B43ค่า ทักมาได้เลยค่า,neutral
95,คนเยอะมากเหมือนอินแทวอนเลย,neutral
96,หาเพื่อนเดินหาของกินค่ะ,neutral
97,หาร้านขนมค้าบบบ มีใครมีร้านแนะนำไหมคะ,neutral
98,มีใครอยู่ไหมคะ กำลังจะไปคนเยอะไหมเอ่ย,neutral
99,จะมาแจก 2 ใบ ถึงบ้านก่อน,neutral
100,งานวันสุดท้าย บิงโก ใบเดียวจบๆ,positive
101,พูดถึง ก็คือเมื่อวานที่ไปเราเจอคนดูดพอตแล้วพ่นอะ พ่นเยอะมากด้วย นี่ว่าตัวเองอยู่ห่างแล้วแต่ลมพัดควันมาเข้าหน้า เรากับเพื่อนคือ 💀💀💀 จะพูดก็ไม่ได้ เดินหนีก็ไม่ได้อีก ยืนรอเพื่อนถ้าเปลี่ยนมี่จะหลงกัน รับกรรมดมไปจ้ะ,negative
102,ใครอยู่ร้านเจ๊แขก ตอนนี้เจ๊แขกถึงคิวที่เท่าไหร่แล้วคะ,neutral
103,โซนนิสิตอยู่ตรงไหนหรอคะ,neutral
104,รับหิ้วนะคะ วันนี้วันสุดท้ายแย้ว อยากได้อะไรเดมมาบอกได้ค่าถ้าหิ้วไหวจะหิ้วให้ ปล.ไม่ได้เดินทุกโซนน้าา,neutral
105,ไข่ปลาทอดคือเดอะเบสของงาน,positive
106,หาเพื่อนเดินคับบ,neutral
107,มาจ้ะมา วันสุดท้ายแล้วค่าาา Zone สนามกีฬา D270 ✨🌵✨,positive
108,รับหิ้วกำไลนะคะ ทักมาได้ค่า,neutral
109,เมื่อยมากแม่,negative
110,น่ากินค่ด🤩,positive
111,คนเยอะอ่ะ ลืมไปวันนี้วันเสาร์ซะด้วย,neutral
112,ประตูงามวงวานศ์3 คนเยอะมั้ยคะ จะเดินได้มั้ย จะไปประมาณ 1 ทุ่ม ค่ะ,neutral
113,วันสุดท้ายจัดไปล้นๆ,positive
114,มีใครรับหิ้วมั้ยคะ ไปไม่ได้เค้าโอนเงินให้ ทั้งค่ารถค่าหิ้วเลย แง,negative
115,ตอนลงจากบีเเล้วเดินมามีร้านขายมะม่วง 3 ลูก 20 ถูกมากกก อย่าพลาดน้า นี้ซื้อไปเดินกินไป เพื่มน้ำปลาหวานเพิ่มสิบบัท,positive
116,แถวโซน D คนเยอะมั้ยคะ จะไปประมาณ 1 ทุ่ม จะเดินได้มั้ยย,neutral
117,อยากไปซื้อซูเฟล่แล้วกลับ,neutral
118,คนเยอะจัดๆเลยฮะ,neutral
119,หมดไป800แล้ว ยังไม่ได้ตุ๊กตาสักตัว แงง,negative
120,อยากไปนะ แต่ไม่มีที่จอดรถ ถ้าไป..ก็สามารถเดินช้อปปิ้งด้วยความเร็ว แค่ 0.0289 km/h เดินเข้าว่ายากแล้ว เดินออกนั้น... ต้องมีฮอมารับ 😹,neutral
121,มีใครรับหิ้วขนมปังเเลบลิ้นบ้างมั้ยคะ อยากกินๆๆๆ🥺,positive
122,อีวินวิภาเสื้อส้ม เบอร์ 78 ถ้ามึงโมโหที่ขับไกล มึงเลิกอาชีพนี้ค่ะ มึงไปทำอาชีพอื่นที่อยู่กับที่ หรือไม่ก็ไม่ต้องมาขับในงาน ถ้ากูอยากจะนั่งจากประตูวิภาวดี มาประตูอมรพันธ์มันก็เรื่องของกู มึงไม่รับก็ควรพูดแต่แรกไม่ใช่มาทำตัวหมาๆแบบนี้เนอะ,negative
123,วินวิภาเสื้อส้มเบอร์ 78 ทำตัวเหี้ยยยยมากก นี่ขึ้นจากคณะวิศวะมาประตู 3 แม่งบ่นตลอดทางแบบคำหยาบ ทำท่าทางแบบไม่อยากไป โทษคนนั่งว่าทำไมต้องนั่งไกล แล้วขับรถแบบกระฟัดกระเฟี้ยด อิสัส มึงไม่อยากขับไกลแล้วมึงมาขับรถทำไม อีส้นตีน,negative
124,เพิ่งเดินเข้ามายังไม่ถึง 10 นาที วันนี้เตรียมอุปกรณ์พร้อมจ้า,neutral
125,ปีที่แล้วไมโลถังคือสินค้าขายดีอันดับหนึ่งของงานเกษตรแฟร์ ส่วนปีนี้คือตุ๊กตาเป็ดง่อยตัวใหญ่ยักษ์,neutral
126,มีใครรับหิ้วของกินมั้ยคะะะ,neutral
127,ยิ่งเลอะ ยิ่งเยอะประสบการณ์ 😂😂@SaranPie,positive
128,วันนี้วันสุดท้ายแล้ว อย่าลืมมาอุดหนุนกันนะคะ,positive
129,ตอนนี้คนเยอะมั้ยครับ,neutral
130,“หนุบหนับหนุบใจน่าอีสมารูอวยสุด ๆ” 📍ร้าน @ khawpod.nhubnhab 💚🫰🏻🌽🧈 พิกัด : โซนนิสิต บูท M192 หน้าสนามบาส -กาย IG : doubleguy,positive
131,พ่อค้าดีจากเกษตรแฟร์อีก 1 คน ☺️ ต้าวพ่อครัวหัวป่า☺️,positive
132,อย่าลืมแวะมาร้านประมงซีฟู้ดกันนะคะวันสุดท้ายแล้ว,positive
133,มันหมดวันไหนคะ,neutral
134,มีใครแวะฟิวเจอร์รังสิตมั้ยคะ อยากฝากหิ้วเกาลัดค้าบ 🥹,neutral
135,มีใครไปแล้วจะมาสยามมั้ยคะอยากฝากหิ้วขนมㅠ___ㅠ,neutral
136,อยากไปเดินเกษตรแฟร์งับไม่อยากเดินคนเดียว🥺,neutral
137,ไม่ต้องบอกรุ่น KU แต่แค่บอกว่าเป็นปีสุดท้ายที่ “เกษตรแฟร์” ให้ขายเบียร์-เหล้า ได้,neutral
138,มีใครทำน้องหล่นไว้รึป่าวคะ ฝากไว้ตรงร้านพี่ผู้ชาย ที่ขายฟิกเกอร์อนิเมะ โซน K นะคะ,neutral
139,รับหิ้วสินค้างานเกษตรแฟร์ค่ะ ตอนนี้เราอยู่เกษตรแฟร์แล้วงับ ค่าหิ้ว30ชิ้นต่อไป+10บาท ค่าส่งตามจริงค่ะ💐,neutral
140,เนื้อจระเข้ย่างอร่อยมาก 👍🏻👍🏻,positive
141,ร้านโอวัลตินอยู่โซนไหนอะะ,neutral
142,มีใครรับปาโป่งหรือเล่นเกมอะไรมั้ยคะ อยากได้ตุ้กตาเป็ดยัก😭😭😭😭,neutral
143,13:30 ถ. งามวงศ์วาน ขาเข้าเมือง ไป มก. รถติดมาก,neutral
144,ร้าน @ monstea.bkk พิกัด : โซน A บูท A27 ประตูพหลฯ ฝั่งสะพานลอยข้ามไปตลาดอมรพันธ์ -ยิม IG : gymyess,neutral
145,ที่จอดรถไม่มีเลย วนประมา1ชม วครเอารถมาหาที่เดินใหม่เถอะ จตุจักรยังหาที่จอดง่ายกว่า ไม่ก็ยอมเสียตังจอดที่เซนลาด แล้วนั่งรถไฟฟ้าไป,negative
146,“ไอเลิฟซีฟู้ด” 💚🫰🏻🐟🦐🦀🦑🦪 📍ร้าน ประมงซีฟู้ด พิกัด : หน้าอาคารเทพศาสตร์สถิตย์,positive
147,ร้าน ECON RON STEAK พิกัด : หน้าตึกปฏิบัติการคณะเศรษฐศาสตร์,neutral
148,ใครไปซื้อของอะไรเช็คของหลังซื้อดีๆนะ อย่าโง่แบบเรา ซื้อ3 ได้แค่2 😂,neutral
149,บรรยากาศริมทะเล,neutral
150,ความรักทำให้เราตาบอด พ่อค้าไก่ทอดทำให้เราอิ่ม 💚🫰🏻🍗🐔🥔🍟 พิกัด : โซนนิสิต บูท M71 ตรงข้ามสหกรณ์ ฟิล์ม IG : filmstepz โมน IG : mone_meaulne,positive
151,มึงกูกับเพื่อนไปต่อแถวซื้อโค้กถังที่,neutral
152,หล่อมาก เกินไปปป หล่อจนปวดหัววว,positive
153,ยิ้มหวานๆของพ่อค้าบูธ M30 ค่า,positive
154,ขอบคุณทุกคนมากๆเลยนะครับ🥰,positive
155,งานนี้มารับน้องแมวจรกลับบ้านไปได้เลยนะคะ น้องๆฉีดวัคซีน ตรวจสุขภาพแล้วทุกตัวค่า,positive
156,พรุ่งนี้ใครไม่มีเพื่อนเดินเกษตรแฟร์หนีบเราไปด้วยได้นะคะ อยากไปหาเดินดูของดัง ๆ ซื้อเก็บไว้ไปฝากที่บ้านแต่ไม่มีเพื่อนไปด้วยเลย 🥺,neutral
157,สงสารรร ร้องไปร้อนไป 😅😅😅,neutral
158,สิ่งนี้ใน เกษตรแฟร์ นัวมาก อันนี้เมนู Spicy cheese รู้สึกเหมือนกินชีโตส55555 อร่อยเลยนะะ บูธ M179 โซนนิสิต ไปลองกันได้ค้าบบบ พน.วันสุดท้ายแล้วๆๆๆๆ,positive
159,โซนนิสิตคือโซนที่ใจฟูมาก💖 @SaranPie,positive
160,แก๊งนี้ทำไมไม่เหมือนมาซื้อของเหมือนมาลักขนมร้านเค้า🤣🤣,neutral
161,เพิ่มเมนูนี้หน่อยย อยากแนะนำมากๆ จนต้อง,positive
162,หล่อตะคอก!!!,positive
163,ก็บอกว่าพี่ @myredsky_ จะเหมาพายจะได้ไม่เหนื่อยทำไมไม่เชื่อเราเค้าจะเหมาจริงนะนั่น!! 🤣🤣🤣🤣🤣,positive
164,คนแสนแปด😫,negative
165,พ่อค้าลืมออเดอร์ ! แง่ม,negative
166,เที่ยงคืนงานเลิกรึยังคะ🥺 วานผู้รู้ตอบหนูที,neutral
167,ขอไอจีแค่นี้พ่อค้าทำไมต้องหล่อตะโกน งงนะ,neutral
168,นิยามคำว่า “ฮอตเนิร์ด” ได้มาอยู่ตรงหน้านี่แล้ว 😳,positive
169,ขอสอบถามค่าคือบีเกษตรกับเสนานิคมมันห่างกันมากไหมคะเพราะพน.มีไปทำงานแล้วกลับเวลาช่วง3ทุ่มกลัวคนเยอะเลยว่าจะเดินทางที่ทำงานไปบีทีเอสเสนาค่ะ,neutral
170,5โมงครึ่ง ถึง3ทุ่มครึ่ง เกษตรแฟร์ทำชีละ 😵‍💫😵‍💫 แต่ได้เยลลี่ก็สบายใจ 😳🧡,neutral
171,ไม่ไหวแค่เดินโซน AกับB ก็ไม่ไหวแล้ว คนเดินเบียดกันมาก อดกินหลายร้านเลย T•T,negative
172,ใครมาคนเดียวชวนไปเดินด้วยนะคะ🥲,neutral
173,เพินตอนนี้ค่อยโล่งหน่อย แต่ร้อนมาก,neutral
174,ไปเดินโซน K กันนะทุกคน คนไม่เยอะเลย ของกินเยอะมาก ร้านอร่อยๆเยอะ,positive
175,ใครจะเดินเข้ามาฝั่งพหล คนเยอะมาก แบบมากๆ หนีปายยยยยยยยย,negative
176,แนะนำเลย โอ้วเอ๋วอร่อยมาก งานartสวยสุดๆ,positive
177,ของดีเกษตรแฟร์ปีนี้อีก 1 คน ☺️ ต้าวแว่น 🕶️😎,positive
178,ก็แค่บอกเค้าไปเป็นคนหล่อครับ,neutral
179,ไปเกษตรแฟร์เจอน้องคนนึงน่ารักมากเลยอะ ซื้อของร้านเดียวกัน แต่น้องน่ารักมาก จบ5555555555 พี่เจ้าของร้านกะน่ารัก ให้ไปยืนเป่าพัดลมรอด้วยยยยย 🫶🏻💗✨,positive
180,คนเยอะมากประตู BTS คนล้นลงมาถนน ระวังกันด้วยนะคะ ดูแลตัวเองกันด้วยค่ะ,neutral
181,ไปตามไอจีพ่อค้าสุดหล่อกันได้นะคะ 🤣 IG : pie_saran,positive
182,ของดี M30 @SaranPie,positive
183,เมื่อถามว่า @SaranPie เป็นใคร 😆,neutral
184,จอดรถตรงไหนได้บ้างง,neutral
185,อยากรู้ความหนาแน่นในงานค่ะ55555555 คนเยอะขนาดไหนน,neutral
186,หาคนเที่ยวเกษตรเเฟร์ด้วยคั้บ🥹🙏🏻,neutral
187,พรุ่งนี้ วันสุดท้ายแล้วน้า ใครยังไม่ได้ไปก็ลองไปกันดูน้า,neutral
188,มีทางไหนที่ต้องไม่ผ่านโซนคนที่แน่นๆบ้าคะ ถ้ามากับ bts,neutral
189,มีใครรับปาบอลมั้ยคะ55555555555 อยากได้เป็ดดดด,neutral
190,มีใครสนใจเดินเกษตรแฟร์ด้วยกันมั้ยย🥹,neutral
191,แกจะเจอน้าเจี๊ยบทุกที่ไม่ได้นะ,neutral
192,ซื้อหนมเบื้องอันละบาทแบบไม่คาดหวังแต่อร่อยมาก กินมันส์มากครีมเขาอร่อยยย 🥺🥺✨,positive
193,เกษตรแฟร์ เย็นวันศุกร์ ไปดูคนก็สนุกละ https://t.co/E08WFWUIK9,positive
194,ยังหาคนหิ้วอยู่นะคับ,neutral
195,ตอนนี้จราจรคนแน่นมั้ยง่า นี่กำลังชั่งใจอยู่ว่าจะไปดีไม่ดี,neutral
